method,status,target_l0,sparsity_lambda,jump_init_threshold,jump_bandwidth
l1_sae,ok,8,0.0300,,
l1_sae,ok,11,0.0350,,
l1_sae,ok,16,0.0250,,
l1_sae,ok,23,0.0180,,
l1_sae,ok,32,0.0140,,
l1_sae,ok,45,0.0115,,
l1_sae,ok,64,0.0100,,
l1_sae,ok,91,0.0085,,
l1_sae,ok,128,0.0073,,
l1_sae,ok,181,0.0062,,
l1_sae,ok,256,0.0052,,
jumprelu_sae,ok,8,0.02500,0.01,0.05
jumprelu_sae,ok,11,0.01800,0.01,0.05
jumprelu_sae,ok,16,0.01200,0.01,0.05
jumprelu_sae,ok,23,0.00800,0.01,0.05
jumprelu_sae,ok,32,0.00600,0.01,0.05
jumprelu_sae,ok,45,0.00450,0.01,0.05
jumprelu_sae,ok,64,0.00330,0.01,0.05
jumprelu_sae,ok,91,0.00220,0.01,0.05
jumprelu_sae,ok,128,0.00150,0.01,0.05
jumprelu_sae,ok,181,0.00100,0.01,0.05
jumprelu_sae,ok,256,0.00065,0.01,0.05
