stage,method,status,error,d,hidden_dim,hidden_multiplier,k,k_max,target_l0,lambda_prior,beta,best_epoch,epochs_trained,stopped_reason,runtime_seconds,peak_memory_mb,test_nmse,test_mse,l0,dead_pct,top1_agreement,original_top1_accuracy,reconstructed_top1_accuracy,logit_kl,suffix_max_abs_diff,checkpoint_path,sparsity_lambda,sparsity_target_l0,jump_init_threshold,jump_bandwidth
stage4,topk_nonorm,ok,,768,3072,4,8,,,,,89,120,early_stop_patience_30,121.4,584.2,0.624903,0.05128604,8.0,1.5951,0.890625,0.90234375,0.84375,0.21359499,0.001524209976196289,outputs/convnext_stage4_logspace_sweep/checkpoints/stage4_topk_nonorm_k8.pt,,,,
stage4,variable_topk_original,ok,,768,3072,4,,8,8.0,0.003,0.0003,47,78,early_stop_patience_30,86.0,307.1,0.6233274,0.05115673,6.58390466,26.1393,0.88476562,0.90234375,0.84179688,0.24833322,0.001524209976196289,outputs/convnext_stage4_logspace_sweep/checkpoints/stage4_variable_topk_original_k8.pt,,,,
stage4,topk_nonorm,ok,,768,3072,4,256,,,,,70,102,early_stop_patience_30,110.7,592.9,0.27577054,0.0226326,256.0,0.0,0.97460938,0.90234375,0.890625,0.02180462,0.001524209976196289,outputs/convnext_stage4_logspace_sweep/checkpoints/stage4_topk_nonorm_k256.pt,,,,
stage4,variable_topk_original,ok,,768,3072,4,,256,256.0,0.003,0.0003,31,63,early_stop_patience_30,354.7,2900.3,0.27773682,0.02279397,245.39249841,0.0,0.9609375,0.90234375,0.890625,0.02698151,0.001524209976196289,outputs/convnext_stage4_logspace_sweep/checkpoints/stage4_variable_topk_original_k256.pt,,,,
stage4,topk_nonorm,ok,,768,3072,4,11,,,,,86,118,early_stop_patience_30,120.3,582.5,0.60396798,0.0495679,11.0,0.5208,0.8984375,0.90234375,0.84765625,0.18474296,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_topk_nonorm_k11.pt,,,,
stage4,variable_topk_original,ok,,768,3072,4,,11,11.0,0.003,0.0003,45,79,early_stop_patience_30,91.2,326.0,0.60137024,0.0493547,8.79819037,3.9714,0.89257812,0.90234375,0.85546875,0.18484439,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_variable_topk_original_k11.pt,,,,
stage4,topk_nonorm,ok,,768,3072,4,16,,,,,79,109,early_stop_patience_30,112.2,582.7,0.58025809,0.04762202,15.99996014,0.1953,0.9140625,0.90234375,0.859375,0.15527802,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_topk_nonorm_k16.pt,,,,
stage4,variable_topk_original,ok,,768,3072,4,,16,16.0,0.003,0.0003,33,68,early_stop_patience_30,84.5,374.0,0.57408151,0.0471151,12.92781409,0.2604,0.92382812,0.90234375,0.86914062,0.15793951,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_variable_topk_original_k16.pt,,,,
stage4,topk_nonorm,ok,,768,3072,4,23,,,,,66,112,early_stop_patience_30,116.3,582.9,0.55537101,0.04557952,23.0,0.0977,0.91796875,0.90234375,0.88476562,0.12617167,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_topk_nonorm_k23.pt,,,,
stage4,variable_topk_original,ok,,768,3072,4,,23,23.0,0.003,0.0003,39,74,early_stop_patience_30,101.8,447.6,0.54200628,0.04448267,19.24306441,0.0,0.90039062,0.90234375,0.86132812,0.13432015,0.001524209976196289,outputs/convnext_stage4_geomspace_sweep/checkpoints/stage4_variable_topk_original_k23.pt,,,,
