method,target_k,k_max,var_l0,var_mse,topk_interpolated_mse,mse_delta_topk_minus_vartopk,relative_improvement_pct,topk_value_extrapolated
variable_topk_original,8,8,6.58390466,0.05115673,0.05209706,0.00094033,1.8050,True
variable_topk_original,11,11,8.79819037,0.04935470,0.05082891,0.00147421,2.9003,False
variable_topk_original,16,16,12.92781409,0.04711510,0.04881764,0.00170254,3.4875,False
variable_topk_original,23,23,19.24306441,0.04448267,0.04667573,0.00219306,4.6985,False
variable_topk_original,32,32,29.17721620,0.04221227,0.04409142,0.00187915,4.2619,False
variable_topk_original,45,45,43.19523278,0.03954922,0.04117742,0.00162820,3.9541,False
variable_topk_original,64,64,60.23038903,0.03678688,0.03862285,0.00183597,4.7536,False
variable_topk_original,91,91,83.76602360,0.03365232,0.03560528,0.00195296,5.4850,False
variable_topk_original,128,128,116.29866869,0.03058619,0.03221666,0.00163047,5.0610,False
variable_topk_original,181,181,177.47185906,0.02662059,0.02719053,0.00056994,2.0961,False
variable_topk_original,256,256,245.39249841,0.02279397,0.02323813,0.00044416,1.9113,False
